,train_loss
1,1.3806155
2,0.9697815
3,0.80585444
4,0.7034298
5,0.63115776
6,0.57856166
7,0.5320126
8,0.500149
9,0.4743494
10,0.44350636
11,0.4199498
12,0.40145233
13,0.3834894
14,0.3678507
15,0.35228187
16,0.3372341
17,0.325297
18,0.31779936
19,0.2985705
20,0.29117954
21,0.2835515
22,0.2703797
23,0.26598787
24,0.25248146
25,0.24661703
26,0.23914064
27,0.23476227
28,0.22299609
29,0.2205265
30,0.21311966
31,0.20742835
32,0.19845933
33,0.19376823
34,0.18780118
35,0.18678775
36,0.17675988
37,0.17575997
38,0.1683873
39,0.16459793
40,0.16146281
41,0.15765297
42,0.15532246
43,0.15472828
44,0.1422643
45,0.14189878
46,0.14139704
47,0.13626957
48,0.13571991
49,0.13316326
50,0.12888211
51,0.12382348
52,0.12131938
53,0.122467384
54,0.11868636
55,0.117328554
56,0.110807404
57,0.10968443
58,0.10690363
59,0.10748328
60,0.10528824
61,0.1042992
62,0.10417698
63,0.102106534
64,0.09883821
65,0.09500322
66,0.09841834
67,0.09211531
68,0.091145836
69,0.08920098
70,0.091603614
71,0.08669603
72,0.08921317
73,0.08101228
74,0.07971695
75,0.08264162
76,0.08120072
77,0.07907873
78,0.0786281
79,0.0765621
80,0.075799935
81,0.07443032
82,0.07482613
83,0.07299317
84,0.07023542
85,0.07315513
86,0.07120145
87,0.066762604
88,0.07058656
89,0.065663315
90,0.0663484
91,0.06316508
92,0.06765906
93,0.06484184
94,0.061750807
95,0.060235932
96,0.061000686
97,0.06118091
98,0.06178305
99,0.06238536
100,0.058766004
101,0.06072792
102,0.05852911
103,0.057402227
104,0.055879157
105,0.0541695
106,0.05858713
107,0.05671828
108,0.055128604
109,0.055223104
110,0.04967715
111,0.052787293
112,0.053281777
113,0.049986534
114,0.053735822
115,0.049586833
116,0.049146514
117,0.05061621
118,0.047772426
119,0.04947491
120,0.050363626
121,0.04998482
122,0.046842553
123,0.046019003
124,0.047551297
125,0.048343927
126,0.043501813
127,0.047044046
128,0.047842227
129,0.046602555
130,0.043053925
131,0.046544734
132,0.044003233
133,0.04180041
134,0.041931313
135,0.042589143
136,0.042861797
137,0.041053478
138,0.042851042
139,0.041014206
140,0.042934116
141,0.04038595
142,0.037098784
143,0.044808798
144,0.040612612
145,0.04005993
146,0.041423135
147,0.03752251
148,0.03959619
149,0.040561143
150,0.034685507
151,0.021869449
152,0.014112691
153,0.012159504
154,0.011021383
155,0.010985036
156,0.009636787
157,0.008404098
158,0.00784831
159,0.007977774
160,0.0068997387
161,0.0073030177
162,0.0071512233
163,0.0069906255
164,0.007318639
165,0.0068876348
166,0.005857079
167,0.0060740355
168,0.005964898
169,0.005593723
170,0.006156636
171,0.005711553
172,0.005778135
173,0.0049906787
174,0.0049895905
175,0.005195663
176,0.005260054
177,0.0054252436
178,0.004223696
179,0.005330314
180,0.004263132
181,0.004509
182,0.004311285
183,0.0039329748
184,0.004373655
185,0.004581321
186,0.0055990545
187,0.0047643995
188,0.0042812545
189,0.00446765
190,0.0043369047
191,0.003954439
192,0.0034633116
193,0.0041069076
194,0.0035326683
195,0.0036115432
196,0.003717211
197,0.003976283
198,0.0038858103
199,0.0037168872
200,0.0035350425
201,0.0036203049
202,0.0038943882
203,0.0033601092
204,0.0032017557
205,0.003376124
206,0.0030778598
207,0.0038473518
208,0.0033454343
209,0.003189886
210,0.003625204
211,0.0034397235
212,0.00323516
213,0.0031434726
214,0.0028142072
215,0.0029337131
216,0.0032834762
217,0.003800134
218,0.003349449
219,0.0033642761
220,0.0027610052
221,0.0033296146
222,0.0034763583
223,0.0027656762
224,0.0024650479
225,0.002571867
226,0.0024784226
227,0.0023094555
228,0.0027375882
229,0.0022517606
230,0.0020361638
231,0.0020810012
232,0.0022326682
233,0.0020124165
234,0.0022282728
235,0.0022106017
236,0.002010444
237,0.0023064988
238,0.0019766635
239,0.0020480726
240,0.002162026
241,0.0025229668
242,0.0020511472
243,0.0018525112
244,0.0021570937
245,0.0021086438
246,0.0021619296
247,0.0022197398
248,0.0020750505
249,0.002405281
250,0.0018482787
251,0.0021022067
252,0.0023896028
253,0.0017155793
254,0.0017778075
255,0.0016440713
256,0.0016611266
257,0.0016415591
258,0.00179221
259,0.0020105673
260,0.0016064198
261,0.0017316256
262,0.001769879
263,0.0018549962
264,0.002048486
265,0.0017690297
266,0.0017062577
267,0.0016925228
268,0.0022683677
269,0.0015527066
270,0.0014292849
271,0.0016508187
272,0.0018666963
273,0.0018167184
274,0.0020584331
275,0.0016384455
276,0.0015950634
277,0.0017135717
278,0.001711476
279,0.001979973
280,0.001677756
281,0.0016933407
282,0.0016822875
283,0.0016605853
284,0.001501078
285,0.0015664865
286,0.0019524039
287,0.0016968442
288,0.0015725573
289,0.0016388876
290,0.0015756197
291,0.0016663166
292,0.0017340357
293,0.0016378545
294,0.0016777833
295,0.0016835646
296,0.0013786907
297,0.0016081444
298,0.0015266249
299,0.0017079053
300,0.0015524942
