,valid_accuracy
1,34.11
2,44.11
3,48.67
4,57.72
5,59.65
6,57.09
7,63.36
8,64.33
9,64.5
10,64.79
11,64.91
12,65.24
13,65.43
14,65.58
15,65.54
16,65.88
17,65.83
18,66.0
19,66.21
20,66.14
21,66.13
22,66.22
23,66.34
24,66.35
25,66.45
26,66.38
27,66.56
28,66.55
29,66.49
30,66.6
31,66.6
32,66.51
33,66.83
34,66.86
35,66.87
36,66.84
37,66.77
38,66.73
39,66.91
40,67.05
41,67.06
42,66.84
43,67.09
44,67.19
45,66.99
46,67.11
47,67.26
48,67.15
49,67.27
50,67.25
51,67.24
52,67.38
53,67.32
54,67.21
55,67.26
56,67.3
57,67.2
58,67.18
59,67.32
60,67.28
61,67.32
62,67.36
63,67.38
64,67.43
65,67.35
66,67.39
67,67.44
68,67.43
69,67.41
70,67.41
71,67.43
72,67.44
73,67.47
74,67.43
75,67.47
76,67.38
77,67.41
78,67.45
79,67.45
80,67.53
81,67.46
82,67.49
83,67.47
84,67.43
85,67.47
86,67.46
87,67.46
88,67.48
89,67.45
90,67.41
91,67.44
92,67.45
93,67.46
94,67.46
95,67.4
96,67.43
97,67.43
98,67.42
99,67.45
100,67.49
