,valid_accuracy
1,48.42
2,62.42
3,67.73
4,69.66
5,75.05
6,75.99
7,78.81
8,81.04
9,82.1
10,83.18
11,83.28
12,82.55
13,83.81
14,84.98
15,84.73
16,86.07
17,85.78
18,85.04
19,86.46
20,86.8
21,86.27
22,84.94
23,86.93
24,86.83
25,87.37
26,86.68
27,87.66
28,87.78
29,86.86
30,88.03
31,87.55
32,88.24
33,87.38
34,87.45
35,87.83
36,87.41
37,87.46
38,87.75
39,88.7
40,88.55
41,88.58
42,87.28
43,88.72
44,88.32
45,88.84
46,88.01
47,88.69
48,88.42
49,87.95
50,88.24
51,88.67
52,88.35
53,88.63
54,87.9
55,88.57
56,88.93
57,89.15
58,88.78
59,88.2
60,88.94
61,89.19
62,88.8
63,88.31
64,88.69
65,89.11
66,88.99
67,88.59
68,88.9
69,88.95
70,88.95
71,89.56
72,89.24
73,89.05
74,89.07
75,89.43
76,88.65
77,89.78
78,89.76
79,88.97
80,89.26
81,88.99
82,89.26
83,89.51
84,89.39
85,89.85
86,89.27
87,89.04
88,89.1
89,89.85
90,89.08
91,89.04
92,89.63
93,89.04
94,89.37
95,89.14
96,89.41
97,89.2
98,89.7
99,89.82
100,89.35
101,89.59
102,88.79
103,89.68
104,89.73
105,89.41
106,89.92
107,90.04
108,89.06
109,88.78
110,90.12
111,89.53
112,89.95
113,89.68
114,90.17
115,89.62
116,89.48
117,89.57
118,89.71
119,89.55
120,89.29
121,89.79
122,89.76
123,89.21
124,89.88
125,89.9
126,89.84
127,89.62
128,89.87
129,89.74
130,89.23
131,89.92
132,89.74
133,89.97
134,90.17
135,89.45
136,90.17
137,89.5
138,89.89
139,89.6
140,90.22
141,90.32
142,90.5
143,90.04
144,89.86
145,89.68
146,89.82
147,90.21
148,89.79
149,90.27
150,90.41
151,90.91
152,90.82
153,90.58
154,91.11
155,91.23
156,90.77
157,91.03
158,90.93
159,91.04
160,91.17
161,91.19
162,91.11
163,91.19
164,90.99
165,91.11
166,91.01
167,91.2
168,91.21
169,91.07
170,91.22
171,91.25
172,91.17
173,90.97
174,91.03
175,91.33
176,91.1
177,91.43
178,91.21
179,91.44
180,91.06
181,91.46
182,91.51
183,91.17
184,91.29
185,91.26
186,90.88
187,91.01
188,91.17
189,91.09
190,90.92
191,91.24
192,91.37
193,91.35
194,91.29
195,91.23
196,91.22
197,91.11
198,91.06
199,91.05
200,90.98
201,91.22
202,91.45
203,91.2
204,91.25
205,91.24
206,91.1
207,91.13
208,91.15
209,90.98
210,91.23
211,91.26
212,91.11
213,91.36
214,91.22
215,91.34
216,91.31
217,91.4
218,91.52
219,90.97
220,91.15
221,91.18
222,91.0
223,91.13
224,91.26
225,91.35
226,90.84
227,91.51
228,91.17
229,91.14
230,91.27
231,91.35
232,91.44
233,91.32
234,91.08
235,91.27
236,91.07
237,91.47
238,91.46
239,91.27
240,91.07
241,91.43
242,91.18
243,91.27
244,90.93
245,91.55
246,91.26
247,91.52
248,91.32
249,91.01
250,91.43
251,91.27
252,91.33
253,91.05
254,91.42
255,91.14
256,91.33
257,91.45
258,91.11
259,91.41
260,91.44
261,91.03
262,91.24
263,91.47
264,91.27
265,91.2
266,90.86
267,91.31
268,91.28
269,91.08
270,91.48
271,91.37
272,91.24
273,91.03
274,91.31
275,91.32
276,91.38
277,91.26
278,91.14
279,91.31
280,91.16
281,91.28
282,91.3
283,91.18
284,91.21
285,91.41
286,91.38
287,91.42
288,91.57
289,91.18
290,91.37
291,91.15
292,91.28
293,91.37
294,91.01
295,91.35
296,91.3
297,91.15
298,91.2
299,91.21
300,91.28
