,valid_loss
1,1.6754873
2,1.4676031
3,1.3891187
4,1.3673432
5,1.3475848
6,1.343127
7,1.323486
8,1.3083949
9,1.2918999
10,1.3152453
11,1.2954375
12,1.3014352
13,1.2993311
14,1.2842776
15,1.2826664
16,1.2684088
17,1.2965304
18,1.2731205
19,1.266052
20,1.2614957
21,1.2629553
22,1.2740366
23,1.2730014
24,1.2606826
25,1.2692974
26,1.2549723
27,1.2568934
28,1.2569548
29,1.2622443
30,1.2615833
31,1.2629362
32,1.2598428
33,1.262987
34,1.2547256
35,1.2541866
36,1.2496934
37,1.2582805
38,1.2530384
39,1.2539638
40,1.2534424
41,1.2470893
42,1.2499533
43,1.2422216
44,1.2463893
45,1.2578137
46,1.2425644
47,1.2452252
48,1.2461615
49,1.2424887
50,1.2476194
51,1.2397957
52,1.2433109
53,1.2415773
54,1.2426243
55,1.2450442
56,1.246257
57,1.2449896
58,1.2429339
59,1.2375333
60,1.2449844
61,1.2391771
62,1.2380002
63,1.2363825
64,1.2364208
65,1.2374529
66,1.2362431
67,1.2358353
68,1.2356855
69,1.2348644
70,1.2344809
71,1.2352824
72,1.235837
73,1.2357843
74,1.2344491
75,1.2341214
76,1.2348791
77,1.234174
78,1.2343931
79,1.2346373
80,1.2355285
81,1.2358052
82,1.2340587
83,1.2324322
84,1.23289
85,1.233456
86,1.233994
87,1.2328067
88,1.2316622
89,1.2340293
90,1.2332002
91,1.2325485
92,1.233746
93,1.2332729
94,1.2318406
95,1.2325737
96,1.2319883
97,1.2323922
98,1.2319157
99,1.233185
100,1.2311442
